TenantId,"TimeGenerated [UTC]",DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,"EndTime [UTC]",ExternalID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,Protocol,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,"StartTime [UTC]",SourceUserID,SourceUserName,EventType,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,Type,"_ResourceId"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.697 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259218750249385;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=1;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=bd7c1dca-f55e-51ec-3e0f-b03b43da864b;FTNTFGTpolicyname=Servers to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port2,,port1,,,,,,,,,,443,"20.190.154.19",,,,,,,,,35749,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",59571,,,,59571,"10.10.10.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.697 PM",Fortinet,Fortigate,"v7.2.0",00014,"traffic:local close",3,,"FTNTFGTeventtime=1656259218840586999;FTNTFGTtz=+0200;FTNTFGTlogid=0001000014;cat=traffic:local;FTNTFGTsubtype=local;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=Reserved;FTNTFGTpolicyid=0;FTNTFGTtrandisp=noop;FTNTFGTapp=tcp/9980;FTNTFGTduration=1;FTNTFGTsentpkt=6;FTNTFGTrcvdpkt=4;FTNTFGTappcat=unscanned",close,"tcp/9980",,,,,,,,FGVMEVCHT5F8HV01,,root,,root,,,,,,,,,,9980,"127.0.0.1",,,,,,,,,35782,,,,,,,,,,1034,,,,,,,,,,,1347,6,,,,,,,,,,,,,,,,,1765,"127.0.0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,close,CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.697 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259218930675557;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=2;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=e0d67860-f55e-51ec-58e5-4aac062c3622;FTNTFGTpolicyname=Client to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port3,,port1,,,,,,,,,,443,"40.126.26.133",,,,,,,,,35750,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",65126,,,,65126,"10.10.20.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.698 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward close",3,,"FTNTFGTeventtime=1656259219080932183;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=1;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=bd7c1dca-f55e-51ec-3e0f-b03b43da864b;FTNTFGTpolicyname=Servers to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=40568;FTNTFGTapp=HTTPS.BROWSER;FTNTFGTappcat=Web.Client;FTNTFGTapprisk=medium;FTNTFGTapplist=default;FTNTFGTduration=1;FTNTFGTsentpkt=10;FTNTFGTrcvdpkt=9;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1",close,HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port2,,port1,,,,,,,,,,443,"20.82.207.122",,,,,,,,,35779,,,,,,,,,,4098,,,,,,,,,,,870,6,,,,,,,,,,,,"192.168.1.5",59586,,,,59586,"10.10.10.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,close,CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.699 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259219090099476;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=1;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=bd7c1dca-f55e-51ec-3e0f-b03b43da864b;FTNTFGTpolicyname=Servers to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port2,,port1,,,,,,,,,,443,"20.190.154.19",,,,,,,,,35751,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",59572,,,,59572,"10.10.10.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.702 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259219290601790;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=2;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=e0d67860-f55e-51ec-58e5-4aac062c3622;FTNTFGTpolicyname=Client to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port3,,port1,,,,,,,,,,443,"40.126.26.133",,,,,,,,,35753,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",65127,,,,65127,"10.10.20.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.703 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259219450390683;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=1;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=bd7c1dca-f55e-51ec-3e0f-b03b43da864b;FTNTFGTpolicyname=Servers to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port2,,port1,,,,,,,,,,443,"20.190.154.19",,,,,,,,,35754,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",59574,,,,59574,"10.10.10.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:19.703 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259219640853242;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=2;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=e0d67860-f55e-51ec-58e5-4aac062c3622;FTNTFGTpolicyname=Client to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port3,,port1,,,,,,,,,,443,"40.126.26.133",,,,,,,,,35755,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",65128,,,,65128,"10.10.20.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:20.713 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259219810815372;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=1;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=bd7c1dca-f55e-51ec-3e0f-b03b43da864b;FTNTFGTpolicyname=Servers to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port2,,port1,,,,,,,,,,443,"20.190.154.19",,,,,,,,,35756,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",59575,,,,59575,"10.10.10.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
"00000000-0000-0000-0000-000000000000","6/26/2022, 4:00:20.715 PM",Fortinet,Fortigate,"v7.2.0",00013,"traffic:forward server-rst",3,,"FTNTFGTeventtime=1656259220010314326;FTNTFGTtz=+0200;FTNTFGTlogid=0000000013;cat=traffic:forward;FTNTFGTsubtype=forward;FTNTFGTlevel=notice;FTNTFGTvd=root;FTNTFGTsrcintfrole=undefined;FTNTFGTdstintfrole=undefined;FTNTFGTsrccountry=Reserved;FTNTFGTdstcountry=United States;FTNTFGTpolicyid=2;FTNTFGTpolicytype=policy;FTNTFGTpoluuid=e0d67860-f55e-51ec-58e5-4aac062c3622;FTNTFGTpolicyname=Client to Internet;FTNTFGTtrandisp=snat;FTNTFGTappid=41475;FTNTFGTapp=Microsoft.Authentication;FTNTFGTappcat=Collaboration;FTNTFGTapprisk=elevated;FTNTFGTapplist=default;FTNTFGTduration=5;FTNTFGTsentpkt=9;FTNTFGTrcvdpkt=10;FTNTFGTutmaction=block;FTNTFGTcountweb=1;FTNTFGTcountapp=1","server-rst",HTTPS,,,,,,,,FGVMEVCHT5F8HV01,,port3,,port1,,,,,,,,,,443,"40.126.26.133",,,,,,,,,35757,,,,,,,,,,7322,,,,,,,,,,,660,6,,,,,,,,,,,,"192.168.1.5",65129,,,,65129,"10.10.20.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM02,OpsManager,"server-rst",CommonSecurityLog,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/collector01_group/providers/microsoft.compute/virtualmachines/collector01"
